Horodateur,"En temps normal, à quelle fréquence utilisez-vous les transports en commun ?","En temps normal, à quelle(s) heure(s) utilisez-vous les transports en commun ?",Dans quel cadre prenez-vous majoritairement les transports en commun ?,Quels types de transports en commun utilisez-vous ?,Quel temps passez-vous en moyenne dans les transports en commun par jour ?,Ressentez-vous de l'insécurité en prenant les transports en commun ?,"Si oui,  à quelle(s) heure(s) ?",Avez-vous déjà été témoins de comportements correspondant à cette définition du harcèlement ?,Avez-vous déjà subi du harcèlement dans les transports en commun ?,"Si oui, est-ce-que cette expérience a entrainé un ou plusieurs changements de comportement de votre part ?","Si oui, avez-vous été victime de violences physiques en lien avec ce harcèlement ? ",Connaissez-vous le dispositif Alerte 3117 ?,"Si oui, l'avez-vous déjà utilisé ?",Pensez-vous que le dispositif Alerte 3117 soit une solution efficace dans les situations de harcèlement sexuel ou sexiste ?,Pourquoi ?,Connaissez-vous l'arrêt à la demande ?,"Si oui, l'avez-vous déjà utilisé ?",Pensez-vous que le dispositif d'arrêt à la demande soit une solution efficace pour éviter le harcèlement sexuel ou sexiste ?,Pourquoi ?,"Selon-vous, à quel point cette campagne de communication est-elle efficace pour lutter contre le harcèlement dans les transports en commun ?",Pourquoi ?,Quel est votre genre ?,Quel est votre âge ?,Quelle est votre catégorie socio-professionnelle ?,Dans quelle ville habitez-vous ?,
2022/02/16 6:53:23 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Entre 1 heure et 2 heures,6,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)","Oui, à plusieurs reprises","Oui, à plusieurs reprises","Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire;Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Non,Non,Non,1,Le harcèlement se vit à l instant ce n est pas en appelant après un numéro que l on sera protégé sur le moment. Existe t il des moyens de prévenir le harcèlement ?  ,Non,Non,4,,3,,Féminin,26 - 35 ans,Cadres et professions intellectuelles supérieures,Paris,
2022/02/16 7:01:52 PM UTC+1,2 à 3 fois par mois,Tôt le matin (5h - 7h30),Déplacements scolaires/professionnels,"TER, transiliens;Trains longue distance (intercités, TGV);Bus, car (nuit)",Plus de 2 heures,5,Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, une seule fois",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire,Oui et je n'ai pas porté plainte,Non,Non,3,Simplement parce qu'il n'est pas très connu,Oui,Non,5,,3,,Masculin,46 - 55 ans,Cadres et professions intellectuelles supérieures,Avignon,
2022/02/16 7:06:12 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Entre 30 minutes et 1 heure,7,Tôt le matin (5h - 7h30);Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité,Oui et je n'ai pas porté plainte,Oui,Oui,3,"Réponse & action, si descriptions precises",Non,Non,,,3,"La proie et le loups c'est connue, mais c'est une image",Féminin,26 - 35 ans,Cadres et professions intellectuelles supérieures,Neuilly-Plaisance ,
2022/02/16 7:11:24 PM UTC+1,Tous les jours ,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Entre 30 minutes et 1 heure,8,"Tôt le matin (5h - 7h30);Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)","Oui, fréquemment","Oui, à plusieurs reprises","Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire;Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Oui et je n'ai pas porté plainte,Oui,Non,3,Cela permet de parler et remonter son expérience mais les problèmes sont en l’espèce sont de plus en plus fréquents ,Oui,Non,3,Nous sommes pas à l’abris que la personne mal attentionnée continue à l’extérieur ,3,Les gens ne disent rien lorsqu’il voit qqn se faire harceler ,Féminin,26 - 35 ans,Cadres et professions intellectuelles supérieures,Paris,
2022/02/16 7:14:40 PM UTC+1,Chaque jours,"Tôt le matin (5h - 7h30);Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Bus, car (jour);Bus, car (nuit)",Entre 1 heure et 2 heures,6,Tôt le matin (5h - 7h30);Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Oui,Non,1,Non applicable lors d'une agression. ,Oui,Non,3,,4,,Féminin,26 - 35 ans,Professions intermédiaires (cadres moyens),Montreuil,
2022/02/16 7:17:14 PM UTC+1,Tous les jours ,"Tôt le matin (5h - 7h30);Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;Bus, car (jour)",Entre 30 minutes et 1 heure,4,"Tôt le matin (5h - 7h30);Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Oui, une seule fois","Non, jamais",,,Oui,Non,3,Délai de réaction sans doute trop court ,Oui,Non,3,,3,,Féminin,56 - 65 ans,Cadres et professions intellectuelles supérieures,Paris,
2022/02/16 7:22:56 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Entre 30 minutes et 1 heure;Entre 1 heure et 2 heures,7,Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Favorisation de l'usage des transports en groupe,Oui et je n'ai pas porté plainte,Non,Non,1,Je perdrai moins de temps à me débattre ou à m'enfuir que de composer ce numéro que je n'ai même pas en tête ,Non,Non,4,Oui mais il ne faudrait pas que le chauffeur laisse descendre notre agresseur,1,"Dans les grandes villes, les gens détournent leurs regards.",Féminin,36 - 45 ans,Employé·es et personnel de service,Versailles ,
2022/02/16 7:23:28 PM UTC+1,2 à 3 fois par mois,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30)","Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways;Bus, car (jour)",Moins de 30 minutes;Entre 30 minutes et 1 heure,5,"Tôt le matin (5h - 7h30);Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)","Oui, à plusieurs reprises","Non, jamais",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Non,Non,1,"Ne connaissant pas ce dispositif, je ne sais pas ce qu'il propose, si ce n'est pas une surveillance plus accrue et/ou des services de sécurité supplémentaires, je doute qu'il soit bien efficace",Non,Non,1,,1,Je ne l'ai jamais vu,Féminin,26 - 35 ans,Professions intermédiaires (cadres moyens),Paris,
2022/02/16 7:24:02 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Entre 30 minutes et 1 heure,8,Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, une seule fois",,Non,Non,,3,Efficace si réactivité ,Non,,5,Évite les risques d’être suivi(e) jusqu’à son domicile ,5,Forte et imagée ,Féminin,36 - 45 ans,Cadres et professions intellectuelles supérieures,Montpellier ,
2022/02/16 7:34:27 PM UTC+1,Quasiment jamais,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Moins de 30 minutes,6,Tôt le matin (5h - 7h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30),"Non, jamais","Non, jamais",,,Non,Non,,,Non,Non,,,3,,Féminin,18 - 25 ans,Cadres et professions intellectuelles supérieures,Cergy,
2022/02/16 7:39:12 PM UTC+1,Tous les jours ,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Entre 30 minutes et 1 heure,4,,"Oui, une seule fois","Non, jamais",,,Non,,3,,Non,,3,,2,,Féminin,36 - 45 ans,Professions intermédiaires (cadres moyens),Bagnolet,
2022/02/16 7:39:23 PM UTC+1,2 à 3 fois par semaine,Tôt le matin (5h - 7h30),Déplacements scolaires/professionnels,"Bus, car (jour)",Entre 1 heure et 2 heures,2,Tôt le matin (5h - 7h30),"Non, jamais","Non, jamais",,,Oui,Non,3,Je ne l'ai jamais vu actif,Oui,Non,4,C'est à double tranchant si le harceleur descend derrière vous ,3,Quelle campagne ? ,Féminin,56 - 65 ans,Employé·es et personnel de service,Chelles ,
2022/02/16 7:46:26 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Entre 30 minutes et 1 heure,3,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire;Favorisation de l'usage des transports en groupe,Non,Oui,Non,3,"Manque de réseau, le temps d'intervention ",Oui,Non,3,Condition d'accès au lieu du problème entre deux gares ,2,L'image dépeint encore les femmes comme victimes sans montrer réellement les hommes ,Féminin,26 - 35 ans,Cadres et professions intellectuelles supérieures,Paris,
2022/02/16 7:47:18 PM UTC+1,Quasiment jamais,Heures creuses (9h30 - 16h30),"Déplacements liés à la vie quotidienne (courses, loisirs...)","Trains longue distance (intercités, TGV)",Moins de 30 minutes,8,Tôt le matin (5h - 7h30);Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises","Changement de siège ou de wagon en cas de sentiment d'insécurité;Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Non,Non,,,,Non,,,,3,"pas assez claire, explicite et pas assez choquante (vs le choc en cas de harcèlement)",Féminin,46 - 55 ans,Cadres et professions intellectuelles supérieures,région parisienne,
2022/02/16 7:47:41 PM UTC+1,6 fois par semaine ,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"TER, transiliens;Bus, car (jour)",Entre 30 minutes et 1 heure,5,Le soir (après 19h30),"Oui, fréquemment","Oui, une seule fois","Changement de siège ou de wagon en cas de sentiment d'insécurité;Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Non,Non,Non,2,Parfois on a pas de reseau dans les transports malheureusement donc le temps de joindre le numéro l'agresseur a déjà fait ce qu'il veut faire ,Non,Non,4,Parce que au moins ça nous rapproche de notre lieu de résidence surtout la nuit ,2,Car ce n'est qu'une affiche ,Féminin,26 - 35 ans,Employé·es et personnel de service,Bois-colombes,
2022/02/16 7:47:41 PM UTC+1,2 à 3 fois par semaine,Heures creuses (9h30 - 16h30);Le soir (après 19h30),Déplacements scolaires/professionnels,"Métros, tramways;Bus, car (jour)",Entre 30 minutes et 1 heure,5,Tôt le matin (5h - 7h30),"Oui, une seule fois","Non, jamais",Changement de siège ou de wagon en cas de sentiment d'insécurité;Favorisation de l'usage des transports en groupe,Non,Non,,,,Non,Non,,,3,,Féminin,26 - 35 ans,Employé·es et personnel de service,Villejuif,
2022/02/16 7:48:14 PM UTC+1,Quasiment jamais,Le soir (après 19h30),"Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways",Moins de 30 minutes,8,Heures creuses (9h30 - 16h30);Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, une seule fois","Changement de siège ou de wagon en cas de sentiment d'insécurité;Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Non,Non,Non,,,Oui,Non,1,,1,,Féminin,26 - 35 ans,Étudiant·e,Paris,
2022/02/16 7:50:38 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Entre 30 minutes et 1 heure;Entre 1 heure et 2 heures,8,"Tôt le matin (5h - 7h30);Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)","Oui, à plusieurs reprises","Oui, à plusieurs reprises","Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire;Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Non,Non,,3,Peu aider mais ne sera jamais assez suffisant .. ,Non,,3,Possibilité d’être suivi proche de son domicile … ,1,,Féminin,18 - 25 ans,Professions intermédiaires (cadres moyens),Paris ,
2022/02/16 7:52:07 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)","Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways;TER, transiliens;Trains longue distance (intercités, TGV)",Entre 1 heure et 2 heures,4,Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire,Non,Oui,Non,1,Le temps de réaction et la difficulté a s en servir en cas d harcèlement. On y pense pas forcément,Non,Non,3,Connais pas,1,Parce-que ça continue,Féminin,36 - 45 ans,Professions intermédiaires (cadres moyens),Paris,
2022/02/16 7:55:30 PM UTC+1,2 à 3 fois par semaine,Heures creuses (9h30 - 16h30);Le soir (après 19h30),Déplacements scolaires/professionnels,"Métros, tramways;Bus, car (jour)",Moins de 30 minutes,7,Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Oui,Oui,4,Efficace pour alerter mais pas pour prévenir du danger ,Non,Non,3,Je ne sais pas ce que c’est,1,Je crois qu’elle affirme un peu plus que les femmes sont en insécurité mais qu’elle n’aura aucun effet sur les personnes qui en sont responsables ,Féminin,36 - 45 ans,Cadres et professions intellectuelles supérieures,Paris,
2022/02/16 7:56:44 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Entre 30 minutes et 1 heure,2,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Oui, une seule fois","Non, jamais",,Non,Oui,Non,4,,Non,,,,3,,Masculin,26 - 35 ans,Cadres et professions intellectuelles supérieures,Bussy Saint-Georges,
2022/02/16 7:57:58 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Entre 1 heure et 2 heures,1,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Non, jamais","Non, jamais",,Non,Non,,3,,Non,,,,3,,Féminin,26 - 35 ans,Cadres et professions intellectuelles supérieures,Villejuif,
2022/02/16 7:58:58 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Entre 30 minutes et 1 heure,8,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)","Oui, à plusieurs reprises","Oui, à plusieurs reprises","Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire;Favorisation de l'usage des transports en groupe;Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Non,Non,Non,,Je ne connais pas ,Non,Non,,Je ne connais pas,3,Pas assez clair,Féminin,46 - 55 ans,Employé·es et personnel de service,Paris,
2022/02/16 7:59:03 PM UTC+1,2 à 3 fois par semaine,Heures creuses (9h30 - 16h30),"Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways;TER, transiliens;Bus, car (jour);Bus, car (nuit)",Entre 1 heure et 2 heures,8,Le soir (après 19h30),"Oui, une seule fois","Non, jamais",,,Oui,Non,3,Je ne sais pas ,Non,Non,3,Je ne sais pas,2,Les loups sont des prédateurs qui veulent tuer une proie. La mort n’est pas systématiquement liée à la mort. Mettre des images d’actes qui risquent d’être commis éveillera plus la conscience car ça sera un élément provocateur qui entraînera des réactions qui seront moteur de la lutte contre le harcèlement. ,Masculin,26 - 35 ans,Cadres et professions intellectuelles supérieures,Paris,
2022/02/16 8:01:12 PM UTC+1,Tous les jours ,Heures creuses (9h30 - 16h30);Le soir (après 19h30),Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Moins de 30 minutes,7,Heures creuses (9h30 - 16h30);Le soir (après 19h30),"Oui, fréquemment","Oui, fréquemment",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire,Non,Oui,Non,2,Ce n’est pas évident je trouve en étant dans la situation d’avoir le réflexe et de sortir son téléphone. ,Non,,,Aucun avis ,1,Pas assez diffusée et mise en avant. ,Féminin,26 - 35 ans,Cadres et professions intellectuelles supérieures,Bois-Colombes,
2022/02/16 8:02:28 PM UTC+1,2 à 3 fois par mois,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Entre 1 heure et 2 heures,8,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)","Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire;Favorisation de l'usage des transports en groupe,Non,Non,,3,,Non,,4,,4,,Féminin,36 - 45 ans,Professions intermédiaires (cadres moyens),Andresy,
2022/02/16 8:04:33 PM UTC+1,Tous les jours,"Tôt le matin (5h - 7h30);Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;Bus, car (jour)",Plus de 2 heures,1,"Tôt le matin (5h - 7h30);Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)","Oui, une seule fois","Non, jamais",,,Oui,Non,1,Trop long à prévenir (ligne arrêt etc),Oui,Non,3,,1,C’est qu’une image ,Masculin,26 - 35 ans,Professions intermédiaires (cadres moyens),Chatillon,
2022/02/16 8:08:17 PM UTC+1,2 à 3 fois par semaine,Heures creuses (9h30 - 16h30);Le soir (après 19h30),Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Bus, car (jour);Bus, car (nuit)",Entre 1 heure et 2 heures,7,Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire,Non,Oui,Oui,4,Ils réagissent très rapidement ,Non,Non,,,2,Peu relayée ,Féminin,18 - 25 ans,Étudiant·e,Versailles,
2022/02/16 8:18:02 PM UTC+1,Tous les jours ou presque ,"Tôt le matin (5h - 7h30);Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Bus, car (jour)",Plus de 2 heures,9,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)","Non, jamais","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire;Favorisation de l'usage des transports en groupe,Non,Non,Non,3,Je n'ai jamais testé ,Oui,Non,3,Jamais testé ,1,L'image du loup est maladroite ,Féminin,26 - 35 ans,Étudiant·e,Pantin,
2022/02/16 8:23:07 PM UTC+1,Tous les jours,"Tôt le matin (5h - 7h30);Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Entre 1 heure et 2 heures,8,Tôt le matin (5h - 7h30);Le soir (après 19h30),"Oui, une seule fois","Oui, une seule fois","Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire;Favorisation de l'usage des transports en groupe;Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Non,Non,,2,,Oui,Non,3,,2,,Féminin,Moins de 18 ans,Étudiant·e,Vaires sur Marne,
2022/02/16 8:27:50 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;Trains longue distance (intercités, TGV)",Entre 30 minutes et 1 heure,4,Le soir (après 19h30),"Oui, une seule fois","Non, jamais",,,Non,,3,,Oui,Non,4,,3,,Féminin,18 - 25 ans,Autres personnes sans activité professionnelle,Paris,
2022/02/16 8:28:06 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Entre 30 minutes et 1 heure,10,Tôt le matin (5h - 7h30);Le soir (après 19h30),"Oui, fréquemment","Oui, à plusieurs reprises","Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire;Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Oui et je n'ai pas porté plainte,Oui,Non,1,Le temps d'intervenir c'est trop tard,Oui,Non,3,Ça ne peux empêcher l'harceleur de suivre / agir ,1,Les responsables s'en moquent ,Féminin,18 - 25 ans,Employé·es et personnel de service,Saint-Ouen ,
2022/02/16 8:30:06 PM UTC+1,2 à 3 fois par mois,Heures creuses (9h30 - 16h30),"Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways",Moins de 30 minutes,1,"Tôt le matin (5h - 7h30);Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)","Non, jamais","Non, jamais",,Non,Non,Non,3,,Non,Non,3,,5,,Masculin,18 - 25 ans,Étudiant·e,Le Havre,
2022/02/16 8:30:39 PM UTC+1,Quasiment jamais,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Plus de 2 heures,8,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Non, jamais","Oui, une seule fois",Favorisation de l'usage des transports en groupe,Non,Non,,3,,Non,Non,3,,2,Faut plus ,Féminin,Plus de 65 ans,"Artisan·es, commerçant·es et chef·fes d'entreprise",À côté de Cergy Pontoise ,
2022/02/16 8:31:34 PM UTC+1,2 à 3 fois par semaine,Tôt le matin (5h - 7h30),Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Entre 1 heure et 2 heures,5,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Oui, une seule fois","Non, jamais",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Oui,Non,3,,Non,Non,3,,3,,Féminin,46 - 55 ans,Cadres et professions intellectuelles supérieures,Esbly,
2022/02/16 8:33:16 PM UTC+1,2 à 3 fois par semaine,Heures creuses (9h30 - 16h30);Le soir (après 19h30),"Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways",Moins de 30 minutes,6,Le soir (après 19h30),"Oui, une seule fois","Non, jamais",,,Non,,2,"si je suis en train de me faire harceler dans le métro, soit c’est pas très grave car juste verbal et ne dure pas, dans ce cas je ne fais rien. Soit si la personne m’agresse physiquement ou me parle pendant longtemps je vais d’abord appeler à l’aide autour de moi. Un agent au téléphone va prendre du temps à décrocher, je ne pourrais  pas forcément lui décrire les faits, et l’intervention ne sera pas immédiate. ",Oui,Non,3,"C’est bien pour ceux qui ont du chemin à pied à faire la nuit, donc permet de lutter contre le harcèlement à l’extérieur des transports en commun. A l’intérieur du transport en commun cela ne changera rien",3,je n’ai jamais vu une telle affiche dans les transports parisiens. Après ça permet aux gens de savoir qu’il existe un interlocuteur disponible en cas de problème. Encore faut il qu’on se souvienne du numero,Féminin,18 - 25 ans,Étudiant·e,paris,
2022/02/16 8:33:23 PM UTC+1,2 à 3 fois par semaine,Tôt le matin (5h - 7h30),Déplacements scolaires/professionnels,"Métros, tramways;Bus, car (jour)",Moins de 30 minutes,4,Le soir (après 19h30),"Oui, une seule fois","Oui, une seule fois",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Non,Non,,,Non,Non,,,3,,Féminin,18 - 25 ans,Étudiant·e,Grenoble ,
2022/02/16 8:35:25 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;Trains longue distance (intercités, TGV)",Entre 30 minutes et 1 heure,6,Tôt le matin (5h - 7h30);Le soir (après 19h30),"Oui, fréquemment","Oui, à plusieurs reprises","Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire;Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Non,Non,,3,,Oui,Non,2,,4,,Féminin,18 - 25 ans,Étudiant·e,Paris,
2022/02/16 8:50:30 PM UTC+1,5j/7,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Plus de 2 heures,1,,"Non, jamais","Non, jamais",,Non,Oui,Non,3,,Non,Non,,,2,,Féminin,18 - 25 ans,Étudiant·e,Domont,
2022/02/16 8:51:02 PM UTC+1,Tout les jours ,Heures creuses (9h30 - 16h30);Le soir (après 19h30),Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Entre 1 heure et 2 heures,6,Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire;Favorisation de l'usage des transports en groupe,Non,Oui,Non,2,Rien à dire,Non,Non,4,Je ne sais pas ,1,,Féminin,18 - 25 ans,Autres personnes sans activité professionnelle,Paris,
2022/02/16 8:51:08 PM UTC+1,Tous les jours ,"Tôt le matin (5h - 7h30);Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)","Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways;TER, transiliens",Entre 1 heure et 2 heures,2,,"Oui, une seule fois","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Oui,Non,3,"Quand ça se produit dans L'angoisse du moment on oublie le numéro, trop long et difficile à retenir ",Non,Non,,,2,Je ne l'ai jamais vue ! ,Féminin,36 - 45 ans,Employé·es et personnel de service,Paris,
2022/02/16 8:55:22 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;Bus, car (jour)",Entre 1 heure et 2 heures,7,Le soir (après 19h30),"Non, jamais","Non, jamais",,,Non,Non,2,,Non,Non,4,,3,,Féminin,26 - 35 ans,Étudiant·e,Paris,
